"Activity","Applicant","Year","Allocation","Value"
"Protein meal","Alliance Group Limited",2020,11352,281983.68
"Protein meal","Blue Sky Meats (N.Z.) Limited",2020,1122,27870.48
"Protein meal","CMP Canterbury Limited",2020,6556,162851.04
"Protein meal","Graeme Lowe Protein Limited",2020,239,5936.76
"Protein meal","Hawkes Bay Protein Limited",2020,8645,214741.8
"Protein meal","Kakariki Proteins Limited",2020,3178,78941.52
"Protein meal","PVL Proteins Limited",2020,4606,114413.04
"Protein meal","Taranaki By-Products Ltd",2020,21427,532246.68
"Protein meal","Taylor Preston Limited",2020,1019,25311.96
"Protein meal","Tegel Foods Limited",2020,1797,44637.48
"Protein meal","Tuakau Proteins Ltd",2020,14268,354417.12
"Protein meal","Value Proteins Ltd",2020,1997,49605.48
"Protein meal","Wallace Group Limited Partnership",2020,16728,415523.52
"Protein meal","Wallace Proteins Limited",2020,6853,170228.52
"Reconstituted wood panels","Daiken New Zealand Limited",2020,19263,478492.92
"Reconstituted wood panels","Daiken Southland Limited",2020,18853,468308.52
"Reconstituted wood panels","Fletcher Building Products Limited",2020,2527,62770.68
"Reconstituted wood panels","Juken New Zealand Ltd",2020,5214,129515.76
"Reconstituted wood panels","Nelson Pine Industries Limited",2020,26027,646510.68
"Tissue paper","Asaleo Care New Zealand Limited",2020,34646,860606.64
"Whey powder","Fonterra Limited",2020,5980,148543.2
